"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","ENVCAUSE (CODE)","ENVCAUSE (DISPLAY)","ENVCAUSE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","AZE","Azerbaijan","","FMLE","Female","","ENVCAUSE114","Stroke","","10[ 6–14]","9.57055","6.36980","14.00834","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","AZE","Azerbaijan","","MLE","Male","","ENVCAUSE114","Stroke","","9[ 6–12]","8.92863","6.37442","12.44033","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BDI","Burundi","","FMLE","Female","","ENVCAUSE114","Stroke","","16[ 14–18]","15.96930","14.00167","17.91844","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BDI","Burundi","","MLE","Male","","ENVCAUSE114","Stroke","","13[ 11–15]","12.84354","11.21644","14.52713","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","BEL","Belgium","","FMLE","Female","","ENVCAUSE068","Trachea, bronchus, lung cancers","","3[ 1–5]","2.72126","1.32832","4.53410","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","BEL","Belgium","","FMLE","Female","","ENVCAUSE114","Stroke","","6[ 3–15]","6.44394","2.65013","14.99600","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","BEL","Belgium","","MLE","Male","","ENVCAUSE114","Stroke","","5[ 3–9]","4.61157","2.55127","8.90638","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BEN","Benin","","BTSX","Both sexes","","ENVCAUSE068","Trachea, bronchus, lung cancers","","0[ 0–0]","0.27363","0.21996","0.32165","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BEN","Benin","","FMLE","Female","","ENVCAUSE068","Trachea, bronchus, lung cancers","","0[ 0–0]","0.27131","0.22200","0.31255","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BFA","Burkina Faso","","BTSX","Both sexes","","ENVCAUSE068","Trachea, bronchus, lung cancers","","1[ 0–1]","0.53732","0.42601","0.63255","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BFA","Burkina Faso","","FMLE","Female","","ENVCAUSE068","Trachea, bronchus, lung cancers","","1[ 0–1]","0.53362","0.43188","0.61670","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","SEAR","South-East Asia","","BGD","Bangladesh","","BTSX","Both sexes","","ENVCAUSE068","Trachea, bronchus, lung cancers","","5[ 4–6]","4.74241","3.72475","5.64113","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","SEAR","South-East Asia","","BGD","Bangladesh","","FMLE","Female","","ENVCAUSE068","Trachea, bronchus, lung cancers","","2[ 2–3]","2.38474","1.95490","2.76325","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","BGR","Bulgaria","","BTSX","Both sexes","","ENVCAUSE113","Ischaemic heart disease","","79[ 54–122]","78.98936","54.20238","121.68363","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","BHR","Bahrain","","BTSX","Both sexes","","ENVCAUSE113","Ischaemic heart disease","","9[ 8–11]","9.16218","7.84085","10.53941","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","BHS","Bahamas","","BTSX","Both sexes","","ENVCAUSE113","Ischaemic heart disease","","11[ 8–13]","10.93089","8.43661","13.29091","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","FMLE","Female","","ENVCAUSE039","Lower respiratory infections","","18[ 13–23]","18.02889","13.34253","23.04842","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","BRA","Brazil","","BTSX","Both sexes","","ENVCAUSE039","Lower respiratory infections","","7[ 4–12]","7.02924","3.72342","11.72505","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","BRA","Brazil","","FMLE","Female","","ENVCAUSE039","Lower respiratory infections","","7[ 4–12]","7.11825","3.88144","11.90220","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","BRB","Barbados","","BTSX","Both sexes","","ENVCAUSE039","Lower respiratory infections","","19[ 11–28]","19.32522","11.37054","28.19498","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","BRB","Barbados","","FMLE","Female","","ENVCAUSE039","Lower respiratory infections","","19[ 11–28]","19.40691","11.46123","28.32174","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","BRB","Barbados","","BTSX","Both sexes","","ENVCAUSE114","Stroke","","13[ 9–21]","13.35912","8.83064","20.87344","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","BRN","Brunei Darussalam","","BTSX","Both sexes","","ENVCAUSE039","Lower respiratory infections","","1[ 0–2]","0.56207","0.03070","1.69737","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","BRN","Brunei Darussalam","","MLE","Male","","ENVCAUSE068","Trachea, bronchus, lung cancers","","0[ 0–1]","0.38260","0.06334","0.91478","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","BRN","Brunei Darussalam","","BTSX","Both sexes","","ENVCAUSE114","Stroke","","2[ 1–3]","1.73930","1.04191","2.95827","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","SEAR","South-East Asia","","BTN","Bhutan","","MLE","Male","","ENVCAUSE068","Trachea, bronchus, lung cancers","","2[ 1–3]","1.86033","1.14030","2.53167","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","SEAR","South-East Asia","","BTN","Bhutan","","BTSX","Both sexes","","ENVCAUSE114","Stroke","","13[ 10–17]","13.49889","9.64406","17.07206","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BWA","Botswana","","MLE","Male","","ENVCAUSE113","Ischaemic heart disease","","13[ 10–17]","13.46626","10.38112","16.76206","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BWA","Botswana","","MLE","Male","","ENVCAUSE068","Trachea, bronchus, lung cancers","","1[ 1–2]","1.20798","0.74733","1.69054","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","CAF","Central African Republic","","FMLE","Female","","ENVCAUSE113","Ischaemic heart disease","","26[ 22–28]","25.51340","22.33314","28.49499","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","CAF","Central African Republic","","MLE","Male","","ENVCAUSE113","Ischaemic heart disease","","26[ 23–29]","25.80686","23.10689","28.55112","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","CAN","Canada","","FMLE","Female","","ENVCAUSE113","Ischaemic heart disease","","6[ 3–11]","6.39643","3.21557","10.53691","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","CAN","Canada","","MLE","Male","","ENVCAUSE113","Ischaemic heart disease","","9[ 6–13]","9.02007","5.76062","12.65942","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","CHE","Switzerland","","FMLE","Female","","ENVCAUSE113","Ischaemic heart disease","","13[ 7–20]","12.79369","6.67258","20.26161","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","CMR","Cameroon","","MLE","Male","","ENVCAUSE039","Lower respiratory infections","","75[ 62–86]","75.31256","62.10522","85.84086","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","COD","Democratic Republic of the Congo","","MLE","Male","","ENVCAUSE039","Lower respiratory infections","","63[ 54–71]","63.04867","53.61509","70.82629","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","COD","Democratic Republic of the Congo","","MLE","Male","","ENVCAUSE114","Stroke","","12[ 10–13]","11.53340","9.97884","13.24863","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","COG","Congo","","MLE","Male","","ENVCAUSE039","Lower respiratory infections","","34[ 28–39]","34.30608","28.16343","39.49602","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","COG","Congo","","FMLE","Female","","ENVCAUSE114","Stroke","","16[ 13–18]","15.60696","13.16979","18.16188","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","COG","Congo","","MLE","Male","","ENVCAUSE114","Stroke","","9[ 8–11]","9.40042","7.88301","11.00044","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","COL","Colombia","","FMLE","Female","","ENVCAUSE068","Trachea, bronchus, lung cancers","","2[ 1–3]","1.97029","1.01455","3.09207","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","COL","Colombia","","FMLE","Female","","ENVCAUSE114","Stroke","","5[ 4–8]","5.37513","3.74470","7.72284","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","COL","Colombia","","MLE","Male","","ENVCAUSE114","Stroke","","5[ 4–7]","5.13689","3.72487","6.93873","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","COM","Comoros","","BTSX","Both sexes","","ENVCAUSE068","Trachea, bronchus, lung cancers","","1[ 0–1]","0.58202","0.44860","0.69638","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","COM","Comoros","","FMLE","Female","","ENVCAUSE068","Trachea, bronchus, lung cancers","","0[ 0–0]","0.36304","0.29314","0.42130","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","CPV","Cabo Verde","","BTSX","Both sexes","","ENVCAUSE068","Trachea, bronchus, lung cancers","","1[ 0–1]","0.55720","0.36103","0.82268","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","CPV","Cabo Verde","","FMLE","Female","","ENVCAUSE068","Trachea, bronchus, lung cancers","","0[ 0–1]","0.46935","0.31316","0.68763","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","CRI","Costa Rica","","BTSX","Both sexes","","ENVCAUSE113","Ischaemic heart disease","","13[ 10–17]","12.99717","9.60502","16.59202","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","CRI","Costa Rica","","BTSX","Both sexes","","ENVCAUSE068","Trachea, bronchus, lung cancers","","1[ 1–2]","1.17247","0.61295","1.91503","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","CRI","Costa Rica","","FMLE","Female","","ENVCAUSE068","Trachea, bronchus, lung cancers","","1[ 0–1]","0.85579","0.44271","1.40526","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","CUB","Cuba","","BTSX","Both sexes","","ENVCAUSE113","Ischaemic heart disease","","34[ 20–63]","34.06614","20.11344","62.61230","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","CYP","Cyprus","","BTSX","Both sexes","","ENVCAUSE113","Ischaemic heart disease","","17[ 12–22]","16.95298","12.05091","21.90488","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","CZE","Czechia","","BTSX","Both sexes","","ENVCAUSE113","Ischaemic heart disease","","38[ 25–52]","37.52596","25.39194","52.29621","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","DNK","Denmark","","BTSX","Both sexes","","ENVCAUSE039","Lower respiratory infections","","4[ 1–7]","3.58085","1.04273","7.31184","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","DNK","Denmark","","FMLE","Female","","ENVCAUSE039","Lower respiratory infections","","4[ 1–8]","3.68976","1.07444","7.53422","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","DOM","Dominican Republic","","BTSX","Both sexes","","ENVCAUSE039","Lower respiratory infections","","5[ 3–7]","5.02535","3.00408","7.35229","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","DOM","Dominican Republic","","FMLE","Female","","ENVCAUSE039","Lower respiratory infections","","5[ 3–7]","4.60554","2.75172","6.70852","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","DZA","Algeria","","BTSX","Both sexes","","ENVCAUSE039","Lower respiratory infections","","7[ 5–13]","6.99252","4.65711","12.97066","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","DZA","Algeria","","FMLE","Female","","ENVCAUSE039","Lower respiratory infections","","7[ 5–14]","7.28172","4.81737","13.75690","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","DZA","Algeria","","BTSX","Both sexes","","ENVCAUSE114","Stroke","","7[ 5–12]","6.60461","4.50033","11.68010","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","ECU","Ecuador","","BTSX","Both sexes","","ENVCAUSE039","Lower respiratory infections","","6[ 3–10]","6.02226","2.87292","9.76994","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","ECU","Ecuador","","MLE","Male","","ENVCAUSE068","Trachea, bronchus, lung cancers","","1[ 0–1]","0.81626","0.37706","1.47478","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AMR","Americas","","ECU","Ecuador","","BTSX","Both sexes","","ENVCAUSE114","Stroke","","4[ 3–6]","3.86438","2.58713","6.02314","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","EGY","Egypt","","MLE","Male","","ENVCAUSE068","Trachea, bronchus, lung cancers","","2[ 2–3]","2.35017","1.59989","3.19680","","",""
