Entity,Code,Year,Access to clean fuels and technologies for cooking  (% of population) (% of population)
Andorra,AND,2008,100
Andorra,AND,2009,100
Andorra,AND,2010,100
Andorra,AND,2011,100
Andorra,AND,2012,100
Andorra,AND,2013,100
Andorra,AND,2014,100
Angola,AGO,2000,18.2413935661316
Angola,AGO,2001,20.4691290855408
Angola,AGO,2002,22.649222612381
Angola,AGO,2003,24.7907817363739
Angola,AGO,2004,26.9029140472412
Angola,AGO,2005,28.994745016098
Angola,AGO,2006,31.0753762722015
Angola,AGO,2007,33.152437210083
Angola,AGO,2008,35.2275907993317
Angola,AGO,2009,37.3010098934174
Angola,AGO,2010,39.3728673458099
Angola,AGO,2011,41.4433300495148
Angola,AGO,2012,43.5125887393951
Angola,AGO,2013,45.5808043479919
Angola,AGO,2014,47.648149728775
Antigua and Barbuda,ATG,2000,94.3624529987574
Antigua and Barbuda,ATG,2001,95.021478831768
Antigua and Barbuda,ATG,2002,95.6754546612501
Antigua and Barbuda,ATG,2003,96.2909024208784
Antigua and Barbuda,ATG,2004,96.8769626691937
Antigua and Barbuda,ATG,2005,97.442539781332
Antigua and Barbuda,ATG,2006,97.9956014081836
Antigua and Barbuda,ATG,2007,98.5393192619085
Antigua and Barbuda,ATG,2008,99.0575325675309
Antigua and Barbuda,ATG,2009,99.4984140619636
Antigua and Barbuda,ATG,2010,99.7978425351903
Antigua and Barbuda,ATG,2011,99.9419383297209
Antigua and Barbuda,ATG,2012,99.9843423443963
Antigua and Barbuda,ATG,2013,99.9900000002526
Antigua and Barbuda,ATG,2014,99.9900000002526
Arab World,,2000,76.5996910093972
Arab World,,2001,77.4430952656521
Arab World,,2002,78.2449498620076
Arab World,,2003,79.0192666807789
Arab World,,2004,79.7925245233708
Arab World,,2005,80.5706944233114
Arab World,,2006,81.3493686620911
Arab World,,2007,82.1122824602736
Arab World,,2008,82.8319321629297
Arab World,,2009,83.4746165284023
Arab World,,2010,84.0060760796805
Arab World,,2011,84.4161482548932
Arab World,,2012,84.7345739409441
Arab World,,2013,85.0036446960209
Arab World,,2014,85.2449705539005
Argentina,ARG,2000,92.2706425189972
Argentina,ARG,2001,92.9734118282795
Argentina,ARG,2002,93.6285920441151
Argentina,ARG,2003,94.2453637719154
Argentina,ARG,2004,94.8329079896212
Argentina,ARG,2005,95.3919224441051
Argentina,ARG,2006,95.9536459296942
Argentina,ARG,2007,96.5089742094278
Argentina,ARG,2008,97.0612721517682
Argentina,ARG,2009,97.6118812337518
Argentina,ARG,2010,98.1612008064985
Argentina,ARG,2011,98.7037848681211
Argentina,ARG,2012,99.2088177241385
Argentina,ARG,2013,99.6114279609174
Argentina,ARG,2014,99.8575944919139
Armenia,ARM,2000,80.1036775112152
Armenia,ARM,2001,81.9189712405205
Armenia,ARM,2002,83.6868286132813
Armenia,ARM,2003,85.4164257645607
Armenia,ARM,2004,87.1169432997704
Armenia,ARM,2005,88.7975595891476
Armenia,ARM,2006,90.4674515128136
Armenia,ARM,2007,92.1342931687832
Armenia,ARM,2008,93.7997188419104
Armenia,ARM,2009,95.4558055847883
Armenia,ARM,2010,97.0498312264681
Armenia,ARM,2011,98.4225209802389
Armenia,ARM,2012,99.3693247903138
Armenia,ARM,2013,99.8326498782262
Armenia,ARM,2014,99.9712311226176
Australia,AUS,2000,100
Australia,AUS,2001,100
Australia,AUS,2002,100
Australia,AUS,2003,100
Australia,AUS,2004,100
Australia,AUS,2005,100
Australia,AUS,2006,100
Australia,AUS,2007,100
Australia,AUS,2008,100
Australia,AUS,2009,100
Australia,AUS,2010,100
Australia,AUS,2011,100
Australia,AUS,2012,100
Australia,AUS,2013,100
Australia,AUS,2014,100
Austria,AUT,2000,100
Austria,AUT,2001,100
Austria,AUT,2002,100
Austria,AUT,2003,100
Austria,AUT,2004,100
Austria,AUT,2005,100
Austria,AUT,2006,100
Austria,AUT,2007,100
Austria,AUT,2008,100
Austria,AUT,2009,100
Austria,AUT,2010,100
Austria,AUT,2011,100
Austria,AUT,2012,100
Austria,AUT,2013,100
Austria,AUT,2014,100
Azerbaijan,AZE,2000,70.7916438579559
Azerbaijan,AZE,2001,72.7922797203064
Azerbaijan,AZE,2002,74.7455149888992
Azerbaijan,AZE,2003,76.6605019569397
Azerbaijan,AZE,2004,78.546379506588
Azerbaijan,AZE,2005,80.4122939705849
Azerbaijan,AZE,2006,82.2673887014389
Azerbaijan,AZE,2007,84.1193094849586
Azerbaijan,AZE,2008,85.9696954488754
Azerbaijan,AZE,2009,87.8186866641045
Azerbaijan,AZE,2010,89.666423946619
Azerbaijan,AZE,2011,91.5130406618118
Azerbaijan,AZE,2012,93.3586835861206
Azerbaijan,AZE,2013,95.1913379132748
Azerbaijan,AZE,2014,96.9369808211923
Bahamas,BHS,2000,100
Bahamas,BHS,2001,100
Bahamas,BHS,2002,100
Bahamas,BHS,2003,100
Bahamas,BHS,2004,100
Bahamas,BHS,2005,100
Bahamas,BHS,2006,100
Bahamas,BHS,2007,100
Bahamas,BHS,2008,100
Bahamas,BHS,2009,100
Bahamas,BHS,2010,100
Bahamas,BHS,2011,100
Bahamas,BHS,2012,100
Bahamas,BHS,2013,100
Bahamas,BHS,2014,100
Bahrain,BHR,2000,100
Bahrain,BHR,2001,100
Bahrain,BHR,2002,100
Bahrain,BHR,2003,100
Bahrain,BHR,2004,100
Bahrain,BHR,2005,100
Bahrain,BHR,2006,100
Bahrain,BHR,2007,100
Bahrain,BHR,2008,100
Bahrain,BHR,2009,100
Bahrain,BHR,2010,100
Bahrain,BHR,2011,100
Bahrain,BHR,2012,100
Bahrain,BHR,2013,100
Bahrain,BHR,2014,100
Bangladesh,BGD,2000,10.5488002300262
Bangladesh,BGD,2001,10.6435418128967
Bangladesh,BGD,2002,10.6907188892365
Bangladesh,BGD,2003,10.6994807720184
Bangladesh,BGD,2004,10.6789946556091
Bangladesh,BGD,2005,10.6384217739105
Bangladesh,BGD,2006,10.5869233608246
Bangladesh,BGD,2007,10.532158613205
Bangladesh,BGD,2008,10.4757726192474
Bangladesh,BGD,2009,10.417914390564
Bangladesh,BGD,2010,10.358738899231
Bangladesh,BGD,2011,10.2983832359314
Bangladesh,BGD,2012,10.2369964122772
Bangladesh,BGD,2013,10.1747334003448
Bangladesh,BGD,2014,10.1117312908173
Barbados,BRB,2000,87.2892633080482
Barbados,BRB,2001,88.4737320244312
Barbados,BRB,2002,89.6107822656631
Barbados,BRB,2003,90.7095521688461
Barbados,BRB,2004,91.7791821062565
Barbados,BRB,2005,92.8288109600544
Barbados,BRB,2006,93.867577239871
Barbados,BRB,2007,94.9031244963408
Barbados,BRB,2008,95.9359928965569
Barbados,BRB,2009,96.9675630331039
Barbados,BRB,2010,97.9762796312571
Barbados,BRB,2011,98.8776115700603
Barbados,BRB,2012,99.5315511710942
Barbados,BRB,2013,99.8690100386739
Barbados,BRB,2014,99.9750150338514
Belarus,BLR,2000,91.7061761021614
Belarus,BLR,2001,92.5218127667904
Belarus,BLR,2002,93.2900846004486
Belarus,BLR,2003,94.0202329307795
Belarus,BLR,2004,94.7215016931295
Belarus,BLR,2005,95.3949999064207
Belarus,BLR,2006,96.0713539272547
Belarus,BLR,2007,96.7417903244495
Belarus,BLR,2008,97.4096683785319
Belarus,BLR,2009,98.0750216171145
Belarus,BLR,2010,98.722729831934
Belarus,BLR,2011,99.2959637194872
Belarus,BLR,2012,99.7066466137767
Belarus,BLR,2013,99.9159016995691
Belarus,BLR,2014,99.9808986744029
Belgium,BEL,2000,100
Belgium,BEL,2001,100
Belgium,BEL,2002,100
Belgium,BEL,2003,100
Belgium,BEL,2004,100
Belgium,BEL,2005,100
Belgium,BEL,2006,100
Belgium,BEL,2007,100
Belgium,BEL,2008,100
Belgium,BEL,2009,100
Belgium,BEL,2010,100
Belgium,BEL,2011,100
Belgium,BEL,2012,100
Belgium,BEL,2013,100
Belgium,BEL,2014,100
Belize,BLZ,2000,79.5936167240143
Belize,BLZ,2001,80.263264477253
Belize,BLZ,2002,80.8853417634964
Belize,BLZ,2003,81.4690068364143
Belize,BLZ,2004,82.0234134793282
Belize,BLZ,2005,82.5577199459076
Belize,BLZ,2006,83.0810785293579
Belize,BLZ,2007,83.6011484265327
Belize,BLZ,2008,84.119576215744
Belize,BLZ,2009,84.636515378952
Belize,BLZ,2010,85.1521119475365
Belize,BLZ,2011,85.666511952877
Belize,BLZ,2012,86.1798703670502
Belize,BLZ,2013,86.6923347115517
Belize,BLZ,2014,87.2040525078774
Benin,BEN,2000,2.08616256713867
Benin,BEN,2001,2.25977897644043
Benin,BEN,2002,2.54887342453003
Benin,BEN,2003,2.90485620498657
Benin,BEN,2004,3.26992273330688
Benin,BEN,2005,3.62056493759155
Benin,BEN,2006,3.95874977111816
Benin,BEN,2007,4.29040193557739
Benin,BEN,2008,4.61891293525696
Benin,BEN,2009,4.94561791419983
Benin,BEN,2010,5.27184009552002
Benin,BEN,2011,5.5958092212677
Benin,BEN,2012,5.91871738433838
Benin,BEN,2013,6.24071359634399
Benin,BEN,2014,6.56194686889648
Bhutan,BTN,2000,38.0339860916138
Bhutan,BTN,2001,40.3047144412994
Bhutan,BTN,2002,42.5277531147003
Bhutan,BTN,2003,44.7122275829315
Bhutan,BTN,2004,46.8672513961792
Bhutan,BTN,2005,49.001944065094
Bhutan,BTN,2006,51.1254191398621
Bhutan,BTN,2007,53.2453119754791
Bhutan,BTN,2008,55.3632795810699
Bhutan,BTN,2009,57.4795037508011
Bhutan,BTN,2010,59.5941543579102
Bhutan,BTN,2011,61.7074012756348
Bhutan,BTN,2012,63.8194292783737
Bhutan,BTN,2013,65.9304112195969
Bhutan,BTN,2014,68.0405169725418
Bolivia,BOL,2000,63.6958032846451
Bolivia,BOL,2001,64.9329155683517
Bolivia,BOL,2002,66.1224544048309
Bolivia,BOL,2003,67.2735840082169
Bolivia,BOL,2004,68.3954656124115
Bolivia,BOL,2005,69.4972574710846
Bolivia,BOL,2006,70.5881208181381
Bolivia,BOL,2007,71.6757208108902
Bolivia,BOL,2008,72.7616995573044
Bolivia,BOL,2009,73.8462120294571
Bolivia,BOL,2010,74.9293982982636
Bolivia,BOL,2011,76.0114073753357
Bolivia,BOL,2012,77.0923867821693
Bolivia,BOL,2013,78.1724870204926
Bolivia,BOL,2014,79.2518496513367
Bosnia and Herzegovina,BIH,2000,51.2174338102341
Bosnia and Herzegovina,BIH,2001,50.5247563123703
Bosnia and Herzegovina,BIH,2002,49.7845232486725
Bosnia and Herzegovina,BIH,2003,49.0059018135071
Bosnia and Herzegovina,BIH,2004,48.1980621814728
Bosnia and Herzegovina,BIH,2005,47.370171546936
Bosnia and Herzegovina,BIH,2006,46.5313911437988
Bosnia and Herzegovina,BIH,2007,45.6893920898438
Bosnia and Herzegovina,BIH,2008,44.8458194732666
Bosnia and Herzegovina,BIH,2009,44.0008163452148
Bosnia and Herzegovina,BIH,2010,43.1545257568359
Bosnia and Herzegovina,BIH,2011,42.3070847988129
Bosnia and Herzegovina,BIH,2012,41.458648443222
Bosnia and Herzegovina,BIH,2013,40.6093537807465
Bosnia and Herzegovina,BIH,2014,39.7593438625336
Botswana,BWA,2000,45.7075834274292
Botswana,BWA,2001,47.0341563224792
Botswana,BWA,2002,48.3132004737854
Botswana,BWA,2003,49.5538592338562
Botswana,BWA,2004,50.7652997970581
Botswana,BWA,2005,51.9566684961319
Botswana,BWA,2006,53.1371235847473
Botswana,BWA,2007,54.314324259758
Botswana,BWA,2008,55.4899126291275
Botswana,BWA,2009,56.6640377044678
Botswana,BWA,2010,57.8368484973907
Botswana,BWA,2011,59.0084820985794
Botswana,BWA,2012,60.1790934801102
Botswana,BWA,2013,61.3488286733627
Botswana,BWA,2014,62.5178307294846
Brazil,BRA,2000,86.480787396431
Brazil,BRA,2001,87.082451581955
Brazil,BRA,2002,87.6365408301353
Brazil,BRA,2003,88.1522193551064
Brazil,BRA,2004,88.6386521160603
Brazil,BRA,2005,89.1050040721893
Brazil,BRA,2006,89.5604372024536
Brazil,BRA,2007,90.0126174092293
Brazil,BRA,2008,90.4631905257702
Brazil,BRA,2009,90.9123040735722
Brazil,BRA,2010,91.360105574131
Brazil,BRA,2011,91.806735098362
Brazil,BRA,2012,92.2523438930511
Brazil,BRA,2013,92.6970794796944
Brazil,BRA,2014,93.1410826742649
Brunei,BRN,2000,100
Brunei,BRN,2001,100
Brunei,BRN,2002,100
Brunei,BRN,2003,100
Brunei,BRN,2004,100
Brunei,BRN,2005,100
Brunei,BRN,2006,100
Brunei,BRN,2007,100
Brunei,BRN,2008,100
Brunei,BRN,2009,100
Brunei,BRN,2010,100
Brunei,BRN,2011,100
Brunei,BRN,2012,100
Brunei,BRN,2013,100
Brunei,BRN,2014,100
Bulgaria,BGR,2000,69.1641479730606
Bulgaria,BGR,2001,70.0044602155685
Bulgaria,BGR,2002,70.7967817783356
Bulgaria,BGR,2003,71.5503007173538
Bulgaria,BGR,2004,72.2742140293121
Bulgaria,BGR,2005,72.9777097702026
Bulgaria,BGR,2006,73.6699789762497
Bulgaria,BGR,2007,74.3587166070938
Bulgaria,BGR,2008,75.0455915927887
Bulgaria,BGR,2009,75.730773806572
Bulgaria,BGR,2010,76.4144346117973
Bulgaria,BGR,2011,77.0967379212379
Bulgaria,BGR,2012,77.7778580784798
Bulgaria,BGR,2013,78.4579649567604
Bulgaria,BGR,2014,79.1372239589691
Burkina Faso,BFA,2000,3.09227705001831
Burkina Faso,BFA,2001,3.49169969558716
Burkina Faso,BFA,2002,3.85055541992188
Burkina Faso,BFA,2003,4.17098999023438
Burkina Faso,BFA,2004,4.46215867996216
Burkina Faso,BFA,2005,4.73295450210571
Burkina Faso,BFA,2006,4.99134063720703
Burkina Faso,BFA,2007,5.24481534957886
Burkina Faso,BFA,2008,5.49323558807373
Burkina Faso,BFA,2009,5.74018359184265
Burkina Faso,BFA,2010,5.98580837249756
Burkina Faso,BFA,2011,6.23025298118591
Burkina Faso,BFA,2012,6.47367238998413
Burkina Faso,BFA,2013,6.71620965003967
Burkina Faso,BFA,2014,6.9580078125
Burundi,BDI,2000,1.99999809265137
Burundi,BDI,2001,1.99999809265137
Burundi,BDI,2002,1.99999809265137
Burundi,BDI,2003,1.99999809265137
Burundi,BDI,2004,1.99999809265137
Burundi,BDI,2005,1.99999809265137
Burundi,BDI,2006,1.99999809265137
Burundi,BDI,2007,1.99999809265137
Burundi,BDI,2008,1.99999809265137
Burundi,BDI,2009,1.99999809265137
Burundi,BDI,2010,1.99999809265137
Burundi,BDI,2011,1.99999809265137
Burundi,BDI,2012,2.00241804122925
Burundi,BDI,2013,2.0238995552063
Burundi,BDI,2014,2.10891962051392
Cambodia,KHM,2000,4.6212911605835
Cambodia,KHM,2001,5.41474223136902
Cambodia,KHM,2002,6.11806511878967
Cambodia,KHM,2003,6.78297877311707
Cambodia,KHM,2004,7.41864442825317
Cambodia,KHM,2005,8.03422331809998
Cambodia,KHM,2006,8.63887071609497
Cambodia,KHM,2007,9.24025774002075
Cambodia,KHM,2008,9.84002351760864
Cambodia,KHM,2009,10.4383170604706
Cambodia,KHM,2010,11.035293340683
Cambodia,KHM,2011,11.6310834884644
Cambodia,KHM,2012,12.2258484363556
Cambodia,KHM,2013,12.8197312355042
Cambodia,KHM,2014,13.412880897522
Cameroon,CMR,2000,13.8039171695709
Cameroon,CMR,2001,14.200896024704
Cameroon,CMR,2002,14.5502984523773
Cameroon,CMR,2003,14.8612976074219
Cameroon,CMR,2004,15.1430428028107
Cameroon,CMR,2005,15.4047012329102
Cameroon,CMR,2006,15.6554341316223
Cameroon,CMR,2007,15.9029006958008
Cameroon,CMR,2008,16.1487460136414
Cameroon,CMR,2009,16.393119096756
Cameroon,CMR,2010,16.6361749172211
Cameroon,CMR,2011,16.8780505657196
Cameroon,CMR,2012,17.1188950538635
Cameroon,CMR,2013,17.3588633537292
Cameroon,CMR,2014,17.5980925559998
Canada,CAN,2000,100
Canada,CAN,2001,100
Canada,CAN,2002,100
Canada,CAN,2003,100
Canada,CAN,2004,100
Canada,CAN,2005,100
Canada,CAN,2006,100
Canada,CAN,2007,100
Canada,CAN,2008,100
Canada,CAN,2009,100
Canada,CAN,2010,100
Canada,CAN,2011,100
Canada,CAN,2012,100
Canada,CAN,2013,100
Canada,CAN,2014,100
Cape Verde,CPV,2000,57.8877419233322
Cape Verde,CPV,2001,58.9392066001892
Cape Verde,CPV,2002,59.9431991577148
Cape Verde,CPV,2003,60.9088957309723
Cape Verde,CPV,2004,61.845475435257
Cape Verde,CPV,2005,62.7621114253998
Cape Verde,CPV,2006,63.6679798364639
Cape Verde,CPV,2007,64.5707488059998
Cape Verde,CPV,2008,65.4720604419708
Cape Verde,CPV,2009,66.3720488548279
Cape Verde,CPV,2010,67.2708451747894
Cape Verde,CPV,2011,68.1685775518417
Cape Verde,CPV,2012,69.0653830766678
Cape Verde,CPV,2013,69.9613928794861
Cape Verde,CPV,2014,70.8567410707474
Caribbean small states,,2000,77.7721329525059
Caribbean small states,,2001,78.9786367927845
Caribbean small states,,2002,80.1411010053749
Caribbean small states,,2003,81.2670260815651
Caribbean small states,,2004,82.3634007588133
Caribbean small states,,2005,83.4310642009873
Caribbean small states,,2006,84.4651074549334
Caribbean small states,,2007,85.4631120344005
Caribbean small states,,2008,86.4308198171265
Caribbean small states,,2009,87.3782507212724
Caribbean small states,,2010,88.3084658290374
Caribbean small states,,2011,89.215367379368
Caribbean small states,,2012,90.090056385738
Caribbean small states,,2013,90.9291098090575
Caribbean small states,,2014,91.7412701799483
Central African Republic,CAF,2000,1.99999809265137
Central African Republic,CAF,2001,1.99999809265137
Central African Republic,CAF,2002,1.99999809265137
Central African Republic,CAF,2003,1.99999809265137
Central African Republic,CAF,2004,1.99999809265137
Central African Republic,CAF,2005,1.99999809265137
Central African Republic,CAF,2006,1.99999809265137
Central African Republic,CAF,2007,1.99999809265137
Central African Republic,CAF,2008,1.99999809265137
Central African Republic,CAF,2009,1.99999809265137
Central African Republic,CAF,2010,1.99999809265137
Central African Republic,CAF,2011,1.99999809265137
Central African Republic,CAF,2012,1.99999809265137
Central African Republic,CAF,2013,2.00130939483643
Central African Republic,CAF,2014,2.01143026351929
Central Europe and the Baltics,,2000,89.5725967119572
Central Europe and the Baltics,,2001,90.0816298541265
Central Europe and the Baltics,,2002,90.5773795021719
Central Europe and the Baltics,,2003,90.9944952763011
Central Europe and the Baltics,,2004,91.3915898499217
Central Europe and the Baltics,,2005,91.7785823515574
Central Europe and the Baltics,,2006,92.158742658695
Central Europe and the Baltics,,2007,92.5633658482778
Central Europe and the Baltics,,2008,92.9628982076151
Central Europe and the Baltics,,2009,93.310640343265
Central Europe and the Baltics,,2010,93.6060423654461
Central Europe and the Baltics,,2011,93.8816766442147
Central Europe and the Baltics,,2012,94.1396113586434
Central Europe and the Baltics,,2013,94.3913195449838
Central Europe and the Baltics,,2014,94.6419499277939
Chad,TCD,2000,2.00193524360657
Chad,TCD,2001,2.01612710952759
Chad,TCD,2002,2.06283330917358
Chad,TCD,2003,2.15567350387573
Chad,TCD,2004,2.28434801101685
Chad,TCD,2005,2.42486000061035
Chad,TCD,2006,2.56192684173584
Chad,TCD,2007,2.69351601600647
Chad,TCD,2008,2.82189249992371
Chad,TCD,2009,2.94841527938843
Chad,TCD,2010,3.07348370552063
Chad,TCD,2011,3.19728851318359
Chad,TCD,2012,3.32000255584717
Chad,TCD,2013,3.44175696372986
Chad,TCD,2014,3.56272459030151
Chile,CHL,2000,86.3462045788765
Chile,CHL,2001,87.2041314840317
Chile,CHL,2002,88.0145758390427
Chile,CHL,2003,88.7866504490376
Chile,CHL,2004,89.5294740796089
Chile,CHL,2005,90.252161026001
Chile,CHL,2006,90.9638270735741
Chile,CHL,2007,91.6720986366272
Chile,CHL,2008,92.3786237835884
Chile,CHL,2009,93.0835641920567
Chile,CHL,2010,93.7870778143406
Chile,CHL,2011,94.4893185049295
Chile,CHL,2012,95.1897382736206
Chile,CHL,2013,95.8900388330221
Chile,CHL,2014,96.5895470231771
China,CHN,2000,46.1483180522919
China,CHN,2001,47.0646321773529
China,CHN,2002,47.9332447052002
China,CHN,2003,48.7633407115936
China,CHN,2004,49.5641112327576
China,CHN,2005,50.3447502851486
China,CHN,2006,51.1144399642944
China,CHN,2007,51.880869269371
China,CHN,2008,52.6456862688065
China,CHN,2009,53.4090429544449
China,CHN,2010,54.1710823774338
China,CHN,2011,54.9319475889206
China,CHN,2012,55.6917905807495
China,CHN,2013,56.4507573843002
China,CHN,2014,57.2089910507202
Colombia,COL,2000,77.1108120679855
Colombia,COL,2001,78.2423302531242
Colombia,COL,2002,79.3262779712677
Colombia,COL,2003,80.3718134760857
Colombia,COL,2004,81.3880994915962
Colombia,COL,2005,82.3842987418175
Colombia,COL,2006,83.3695709705353
Colombia,COL,2007,84.3515768647194
Colombia,COL,2008,85.3319644927979
Colombia,COL,2009,86.3108813762665
Colombia,COL,2010,87.2884765267372
Colombia,COL,2011,88.2648907601833
Colombia,COL,2012,89.2402775585651
Colombia,COL,2013,90.2147836983204
Colombia,COL,2014,91.1885537207127
Comoros,COM,2000,1.99999809265137
Comoros,COM,2001,1.99999809265137
Comoros,COM,2002,2.00237035751343
Comoros,COM,2003,2.02511548995972
Comoros,COM,2004,2.12022066116333
Comoros,COM,2005,2.35445499420166
Comoros,COM,2006,2.7458667755127
Comoros,COM,2007,3.24157476425171
Comoros,COM,2008,3.77410650253296
Comoros,COM,2009,4.31056022644043
Comoros,COM,2010,4.84507083892822
Comoros,COM,2011,5.37899136543274
Comoros,COM,2012,5.9101402759552
Comoros,COM,2013,6.44001960754395
Comoros,COM,2014,6.96882605552673
Congo,COG,2000,10.5554699897766
Congo,COG,2001,11.1887156963348
Congo,COG,2002,11.7743313312531
Congo,COG,2003,12.3214602470398
Congo,COG,2004,12.8392338752747
Congo,COG,2005,13.3368015289307
Congo,COG,2006,13.8232827186584
Congo,COG,2007,14.3063426017761
Congo,COG,2008,14.787620306015
Congo,COG,2009,15.2672827243805
Congo,COG,2010,15.7454967498779
Congo,COG,2011,16.2224113941193
Congo,COG,2012,16.6982054710388
Congo,COG,2013,17.1730279922485
Congo,COG,2014,17.6470398902893
Costa Rica,CRI,2000,86.5662455558777
Costa Rica,CRI,2001,87.3624622821808
Costa Rica,CRI,2002,88.1111063063145
Costa Rica,CRI,2003,88.8213403522968
Costa Rica,CRI,2004,89.5023249089718
Costa Rica,CRI,2005,90.1632219552994
Costa Rica,CRI,2006,90.8131912350655
Costa Rica,CRI,2007,91.4598949253559
Costa Rica,CRI,2008,92.1049803495407
Costa Rica,CRI,2009,92.7485957741737
Costa Rica,CRI,2010,93.3908879756927
Costa Rica,CRI,2011,94.0320003777742
Costa Rica,CRI,2012,94.6720853447914
Costa Rica,CRI,2013,95.311289653182
Costa Rica,CRI,2014,95.9497567266226
Cote d'Ivoire,CIV,2000,18.4105634689331
Cote d'Ivoire,CIV,2001,18.539434671402
Cote d'Ivoire,CIV,2002,18.6207115650177
Cote d'Ivoire,CIV,2003,18.6635613441467
Cote d'Ivoire,CIV,2004,18.67715716362
Cote d'Ivoire,CIV,2005,18.6706602573395
Cote d'Ivoire,CIV,2006,18.6532378196716
Cote d'Ivoire,CIV,2007,18.632560968399
Cote d'Ivoire,CIV,2008,18.6102688312531
Cote d'Ivoire,CIV,2009,18.5865104198456
Cote d'Ivoire,CIV,2010,18.5614407062531
Cote d'Ivoire,CIV,2011,18.535190820694
Cote d'Ivoire,CIV,2012,18.5079216957092
Cote d'Ivoire,CIV,2013,18.4797763824463
Cote d'Ivoire,CIV,2014,18.4508979320526
Croatia,HRV,2000,84.2734098434448
Croatia,HRV,2001,85.1238831877708
Croatia,HRV,2002,85.9266221523285
Croatia,HRV,2003,86.6906702518463
Croatia,HRV,2004,87.4250754714012
Croatia,HRV,2005,88.1388828158379
Croatia,HRV,2006,88.8411365449429
Croatia,HRV,2007,89.5394146442413
Croatia,HRV,2008,90.2353949844837
Croatia,HRV,2009,90.929289162159
Croatia,HRV,2010,91.6213050484657
Croatia,HRV,2011,92.3116475343704
Croatia,HRV,2012,93.0005304515362
Croatia,HRV,2013,93.6881631612778
Croatia,HRV,2014,94.3747494369745
Cuba,CUB,2000,68.8425123691559
Cuba,CUB,2001,70.2769845724106
Cuba,CUB,2002,71.6641277074814
Cuba,CUB,2003,73.0132013559341
Cuba,CUB,2004,74.3334710597992
Cuba,CUB,2005,75.6341949105263
Cuba,CUB,2006,76.9246339797974
Cuba,CUB,2007,78.2125234603882
Cuba,CUB,2008,79.4994741678238
Cuba,CUB,2009,80.7855740189552
Cuba,CUB,2010,82.0709079504013
Cuba,CUB,2011,83.3555564284325
Cuba,CUB,2012,84.639610350132
Cuba,CUB,2013,85.9231546521187
Cuba,CUB,2014,87.2062727808952
Cyprus,CYP,2000,100
Cyprus,CYP,2001,100
Cyprus,CYP,2002,100
Cyprus,CYP,2003,100
Cyprus,CYP,2004,100
Cyprus,CYP,2005,100
Cyprus,CYP,2006,100
Cyprus,CYP,2007,100
Cyprus,CYP,2008,100
Cyprus,CYP,2009,100
Cyprus,CYP,2010,100
Cyprus,CYP,2011,100
Cyprus,CYP,2012,100
Cyprus,CYP,2013,100
Cyprus,CYP,2014,100
Czech Republic,CZE,2000,93.5197874903679
Czech Republic,CZE,2001,94.3591415882111
Czech Republic,CZE,2002,95.1225101947784
Czech Republic,CZE,2003,95.88338509202
Czech Republic,CZE,2004,96.615532413125
Czech Republic,CZE,2005,97.3280500620604
Czech Republic,CZE,2006,98.0271734297276
Czech Republic,CZE,2007,98.7005610950291
Czech Republic,CZE,2008,99.2899491451681
Czech Republic,CZE,2009,99.7068976284936
